Country Name,Capitol City,Population,GDP,COVID-19 Cases,COVID-19 Deaths
Brazil,Brasilia,209469333,1.87E+12,3669995,116580
Portugal,Lisbon,10281762,2.38E+11,55912,1805
Kazakhstan,Astana,18276499,1.71E+11,127462,1781
Zimbabwe,Harare,14439018,31000519447,6196,166
Libya,Tripolis,6678567,48319620013,11281,203
Madagascar,Antananarivo,26262368,12100459087,14475,178
Moldova,Chisinau,3545883,11309082555,34358,960
Armenia,Yerevan,2951776,12433089919,42936,858
Democratic Republic of the Congo,Kinshasa,84068091,47227535291,9891,251
Uruguay,Montevideo,3449299,59596885024,1536,43
Taiwan Province of China,Taipei,23577271,1.31E+12,487,7
Pakistan,Islamabad,212215030,3.13E+11,294193,6267
Colombia,Bogota,49648685,3.30E+11,562128,17889
Nigeria,Abuja,195874740,3.97E+11,52800,1007
Belize,Belmopan,408487,3343000000,730,10
Cote d'Ivoire,Yamoussoukro,23740424,1.06E+11,17562,114
Liberia,Monrovia,4818977,3249000000,1295,82
Panama,Panama City,4176873,65055100000,88381,1919
Croatia,Zagreb,4089400,60805659436,8530,175
Ethiopia,Addis Ababa,109224559,84355462494,43688,709
Paraguay,Asuncion,6956071,40842341774,14228,231
Afghanistan,Kabul,37172386,19362969582,38071,1397
Haiti,Port-au-Prince,11123176,9658084644,8112,196
Ecuador,Quito,17084357,1.08E+11,109030,6368
France,Paris,66987244,2.78E+12,248158,30544
Singapore,Singapur,5638676,3.64E+11,56435,27
Czech Republic,Prague,10625695,2.44E+11,22548,416
Venezuela,Caracas,28870195,76458000000,41158,343
Switzerland,Berne,8516543,7.06E+11,40161,1722
Argentina,Buenos Aires,44494502,5.18E+11,359625,7563
Iran,Tehran,81800269,1.54E+12,361150,20776
Luxembourg,Luxembourg,607728,69487922619,7838,124
Albania,Tirana,2866376,15058879129,8759,259
Sudan,Khartoum,41801533,40851536134,12974,819
South Africa,Pretoria,57779622,3.66E+11,613017,13308
El Salvador,San Salvador,6420744,26056950000,24986,687
Indonesia,Jakarta,267663435,1.04E+12,157859,6858
Kosovo,Pristina,1845300,7900268736,12683,488
Germany,Berlin,82927922,4.00E+12,236429,9280
Malta,Valletta,483530,14542039605,1705,10
Latvia,Riga,1926542,34849078086,1342,33
Austria,Vienna,8847037,4.56E+11,25838,733
Iceland,Reykjavik,353574,25878475760,2077,10
China,Beijing,1392730000,1.36E+13,89752,4712
Ukraine,Kiev,44622516,1.31E+11,110085,2318
Mexico,Mexico City,126190788,1.22E+12,568621,61450
Trinidad and Tobago,Port of Spain,1389858,23410353435,1252,15
Greece,Athens,10727668,2.18E+11,8987,243
Uzbekistan,Tashkent,32955400,50499920318,39790,289
Denmark,Copenhagen,5797446,3.51E+11,16480,623
Malaysia,Kuala Lumpur,31528585,3.54E+11,9285,125
Russia,Moscow,144478050,1.66E+12,966189,16568
Guinea,Conakry,12414318,10989790256,9128,57
Belarus,Minsk,9485386,59662495092,70727,652
Ireland,Dublin,4853506,3.76E+11,28201,1777
Palestinian Territories,East Jerusalem,4550000,14500000000,26162,150
Estonia,Tallinn,1320884,30284890757,2294,64
Burkina Faso,Ouagadougou,19751535,14441763759,1352,55
Mali,Bamako,19077690,17196688920,2713,125
Kenya,Nairobi,51393010,87908262520,32803,559
Dominican Republic,Santo Domingo,10627165,81298585403,92217,1585
Thailand,Bangkok,69428524,5.05E+11,3403,58
Senegal,Dakar,15854360,24129599552,13056,274
Slovak Republic,Bratislava,5447011,1.06E+11,3452,33
Finland,Helsinki,5518050,2.76E+11,7981,335
Bosnia and Herzegovina,Sarajevo,3323929,19781776101,18324,554
Sweden,Stockholm,10183175,5.51E+11,86891,5814
Republic of the Congo,Brazzaville,5244363,11263682694,3979,78
Lebanon,Beirut,6848925,56639155556,13687,138
Philippines,Manila,106651922,3.31E+11,197164,3038
Bahrain,Manama,1569439,37746196809,50076,186
Myanmar,Nay Pyi Taw,53708395,71214803378,504,6
Benin,Porto-Novo,11485048,10358985583,2115,39
Malawi,Lilongwe,18143315,7064971176,5423,170
Romania,Bucharest,19473936,2.40E+11,80390,3367
Saudi Arabia,Riyadh,33699947,7.82E+11,309768,3722
Slovenia,Ljubljana,2067372,54235484383,2686,128
Sri Lanka,Colombo,21670000,88900770858,2971,12
Chile,Santiago,18729160,2.98E+11,400985,10958
Honduras,Tegucigalpa,9587522,23803230473,55479,1683
Italy,Rome,60431283,2.07E+12,261174,35445
Mozambique,Maputo,29495962,14457964381,3508,21
Lithuania,Vilnius,2789533,53251369047,2694,85
Burundi,Bujumbura,11175378,3078029929,430,1
Poland,Warsaw,37978548,5.86E+11,63073,1977
New Zealand,Wellington,4885500,2.05E+11,1344,22
Bangladesh,Dhaka,161356039,2.74E+11,299628,4028
Georgia,Tbilisi,3731000,16209818081,1436,19
Azerbaijan,Baku,9942334,46939529412,35559,521
Belgium,Brussels,11422068,5.32E+11,82353,9878
Mauritania,Nouakchott,4403319,5365868725,6928,158
Zambia,Lusaka,17351822,26720073436,11285,282
Togo,Lome,7889094,5300214337,1309,27
Gabon,Libreville,2119275,17017401832,8409,53
Serbia,Belgrade,6982084,50508366850,30820,705
Cameroon,Yaounde,25216237,38502059858,18973,410
Namibia,Windhoek,2606971,27505000000,6160,57
Egypt,Cairo,98423595,2.51E+11,97619,5298
Vietnam,Hanoi,95540395,2.45E+11,1029,27
Canada,Ottawa,37058856,1.71E+12,125969,9090
South Sudan,Juba,10975920,18435000000,2507,47
Turkey,Ankara,82319724,7.67E+11,261194,6163
Hungary,Budapest,9768785,1.56E+11,5215,614
Syrian Arab Republic,Damascus,16906283,50280000000,2293,92
Nicaragua,Managua,6465513,13117859222,4494,137
Israel,Jerusalem,8883800,3.70E+11,107078,859
Costa Rica,San Jose,4999441,60126014829,35305,376
Netherlands,Amsterdam,17231017,9.13E+11,67476,6198
Rwanda,Kigali,12301939,9509003197,3537,15
Spain,Madrid,46723749,1.43E+12,412553,28924
Tunisia,Tunis,11565204,39860715814,3069,71
Lesotho,Maseru,2108132,2791762880,1049,30
Niger,Niamey,22442948,9239513530,1173,69
Cyprus,Nicosia,1189265,24469841832,1474,21
Tanzania,Dodoma,56318348,57437073927,509,21
Qatar,Doha,2781677,1.92E+11,117498,194
Angola,Luanda,30809762,1.06E+11,2222,100
Chad,N'Djamena,15477751,11302544205,995,77
Yemen,Sanaa,28498687,26914402224,1924,557
Algeria,Algiers,42228429,1.81E+11,42228,1456
Hong Kong of China,Hong Kong,7451000,3.63E+11,4736,78
South Korea,Seoul,51709098,2.24E+12,18265,312
Kuwait,Kuwait City,4137309,1.42E+11,81573,519
Sierra Leone,Freetown,7650154,3999945202,2001,69
Central African Republic,Bangui,4666377,2379716827,4691,61
Nepal,Kathmandu,28087871,28812491892,33533,164
Iraq,Baghdad,38433600,2.26E+11,211947,6596
Uganda,Kampala,42723139,27476945526,2426,25
Mauritius,Port Louis,1265303,14220348673,346,10
Botswana,Gaborone,2254126,18616018903,1562,3
Australia,Canberra,24992369,1.43E+12,25053,525
Bulgaria,Sofia,7024216,65132951116,15386,563
United States,Washington,327167434,2.05E+13,5779028,178486
Morocco,Rabat,36029138,1.18E+11,54528,955
United Kingdom,London,66488991,2.83E+12,327798,41449
Norway,Oslo,5314336,4.35E+11,10395,264
Guatemala,Guatemala City,17247807,78460447920,69651,2630
Kyrgyzstan,Bishkek,6315800,8092836609,43358,1057
Tajikistan,Dushanbe,9100837,7522947810,8379,67
Cambodia,Phnom Penh,16249798,24571753583,273,0
India,New Delhi,1352617328,2.73E+12,3234474,59449
Jordan,Amman,9956011,42290832158,1716,14
Bhutan,Thimphu,754394,2534965163,173,0
Montenegro,Podgorica,622345,5452173041,4444,87
United Arab Emirates,Abu Dhabi,9630959,4.14E+11,67621,377
Macedonia,Skopje,2103721,33822000000,13673,568
Mongolia,Ulan Bator,3170208,13009574621,300,0
Jamaica,Kingston,2934855,15717858487,1732,19
Ghana,Accra,29767108,65556464056,43717,270
Somalia,Mogadishu,15008154,7484000000,3275,95
Peru,Lima,31989256,2.22E+11,607382,28001
Bolivia,Sucre,11353142,40287647757,110999,4664
Japan,Tokyo,126529100,4.97E+12,63822,1209
